Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
73,289,229,4,0,31.87,6,caught,1,,v India,Nagpur,13-Dec-12,Test # 2066
20*,64,56,1,1,35.71,6,not out,3,,v India,Nagpur,13-Dec-12,Test # 2066
4,17,11,1,0,36.36,6,caught,1,,v New Zealand,Dunedin,06-Mar-13,Test # 2077
0,4,2,0,0,0,7,run out,3,,v New Zealand,Dunedin,06-Mar-13,Test # 2077
10,24,20,1,0,50,6,caught,1,,v New Zealand,Wellington,14-Mar-13,Test # 2080
45,254,176,4,0,25.56,5,bowled,2,,v New Zealand,Auckland,22-Mar-13,Test # 2084
29,107,79,2,0,36.7,6,lbw,4,,v New Zealand,Auckland,22-Mar-13,Test # 2084
40,180,114,4,0,35.08,5,caught,1,,v New Zealand,Lord's,16-May-13,Test # 2088
71,178,120,8,0,59.16,4,bowled,3,,v New Zealand,Lord's,16-May-13,Test # 2088
104,236,167,9,0,62.27,5,caught,1,,v New Zealand,Leeds,24-May-13,Test # 2089
28,32,22,4,0,127.27,5,caught,3,,v New Zealand,Leeds,24-May-13,Test # 2089
30,99,64,6,0,46.87,2,bowled,1,,v Australia,Nottingham,10-Jul-13,Test # 2090
5,34,31,1,0,16.12,2,caught,3,,v Australia,Nottingham,10-Jul-13,Test # 2090
6,28,14,1,0,42.85,2,lbw,1,,v Australia,Lord's,18-Jul-13,Test # 2091
180,466,338,18,2,53.25,2,caught,3,,v Australia,Lord's,18-Jul-13,Test # 2091
8,97,57,1,0,14.03,2,caught,2,,v Australia,Manchester,01-Aug-13,Test # 2092
13*,95,57,1,0,22.8,2,not out,4,,v Australia,Manchester,01-Aug-13,Test # 2092
16,78,52,1,0,30.76,2,caught,1,,v Australia,Chester-le-Street,09-Aug-13,Test # 2093
2,35,19,0,0,10.52,2,bowled,3,,v Australia,Chester-le-Street,09-Aug-13,Test # 2093
68,234,184,11,0,36.95,2,caught,2,,v Australia,The Oval,21-Aug-13,Test # 2094
11,20,17,2,0,64.7,2,caught,4,,v Australia,The Oval,21-Aug-13,Test # 2094
2,14,7,0,0,28.57,6,caught,2,,v Australia,Brisbane,21-Nov-13,Test # 2103
26*,121,86,4,0,30.23,6,not out,4,,v Australia,Brisbane,21-Nov-13,Test # 2103
15,114,80,1,0,18.75,3,caught,2,,v Australia,Adelaide,05-Dec-13,Test # 2105
87,269,194,9,0,44.84,3,caught,4,,v Australia,Adelaide,05-Dec-13,Test # 2105
4,23,16,1,0,25,3,caught,2,,v Australia,W.A.C.A,13-Dec-13,Test # 2107
19,125,88,1,0,21.59,3,caught,4,,v Australia,W.A.C.A,13-Dec-13,Test # 2107
24,116,82,2,0,29.26,3,caught,1,,v Australia,Melbourne,26-Dec-13,Test # 2110
15,37,24,1,0,62.5,3,run out,3,,v Australia,Melbourne,26-Dec-13,Test # 2110
200*,500,298,16,0,67.11,5,not out,1,,v Sri Lanka,Lord's,12-Jun-14,Test # 2124
15,32,18,2,0,83.33,5,lbw,3,,v Sri Lanka,Lord's,12-Jun-14,Test # 2124
13,48,32,2,0,40.62,5,caught,2,,v Sri Lanka,Leeds,20-Jun-14,Test # 2126
31,161,108,4,0,28.7,5,caught,4,,v Sri Lanka,Leeds,20-Jun-14,Test # 2126
154*,400,295,15,0,52.2,5,not out,2,,v India,Nottingham,09-Jul-14,Test # 2128
13,66,50,0,0,26,5,lbw,2,,v India,Lord's,17-Jul-14,Test # 2130
66,222,146,7,0,45.2,5,caught,4,,v India,Lord's,17-Jul-14,Test # 2130
3,46,25,0,0,12,5,caught,1,,v India,Southampton,27-Jul-14,Test # 2132
56,66,41,9,0,136.58,5,bowled,3,,v India,Southampton,27-Jul-14,Test # 2132
77,219,161,7,0,47.82,6,caught,2,,v India,Manchester,07-Aug-14,Test # 2134
149*,268,165,18,1,90.3,5,not out,2,,v India,The Oval,15-Aug-14,Test # 2137
83,186,133,11,0,62.4,5,bowled,1,,v West Indies,North Sound,13-Apr-15,Test # 2157
59,134,79,5,1,74.68,5,bowled,3,,v West Indies,North Sound,13-Apr-15,Test # 2157
182*,333,229,17,4,79.47,5,not out,2,,v West Indies,St George's,21-Apr-15,Test # 2158
DNB,-,-,-,-,-,-,-,4,,v West Indies,St George's,21-Apr-15,Test # 2158
33,58,35,5,0,94.28,5,caught,1,,v West Indies,Bridgetown,01-May-15,Test # 2160
1,34,13,0,0,7.69,5,caught,3,,v West Indies,Bridgetown,01-May-15,Test # 2160
98,218,161,11,0,60.86,5,caught,1,,v New Zealand,Lord's,21-May-15,Test # 2162
84,190,139,12,0,60.43,5,caught,3,,v New Zealand,Lord's,21-May-15,Test # 2162
1,6,5,0,0,20,5,caught,2,,v New Zealand,Leeds,29-May-15,Test # 2163
0,2,2,0,0,0,5,caught,4,,v New Zealand,Leeds,29-May-15,Test # 2163
134,247,166,17,0,80.72,5,caught,1,,v Australia,Cardiff,08-Jul-15,Test # 2170
60,133,89,9,0,67.41,5,bowled,3,,v Australia,Cardiff,08-Jul-15,Test # 2170
1,6,4,0,0,25,5,caught,2,,v Australia,Lord's,16-Jul-15,Test # 2171
17,84,44,2,0,38.63,5,bowled,4,,v Australia,Lord's,16-Jul-15,Test # 2171
63,113,75,9,1,84,4,caught,2,,v Australia,Birmingham,29-Jul-15,Test # 2173
38*,89,63,6,1,60.31,4,not out,4,,v Australia,Birmingham,29-Jul-15,Test # 2173
130,246,176,19,1,73.86,4,caught,2,,v Australia,Nottingham,06-Aug-15,Test # 2175
6,59,39,1,0,15.38,4,caught,2,,v Australia,The Oval,20-Aug-15,Test # 2178
11,52,30,1,0,36.66,4,caught,3,,v Australia,The Oval,20-Aug-15,Test # 2178
85,199,143,7,0,59.44,5,caught,2,,v Pakistan,Abu Dhabi,13-Oct-15,Test # 2180
33*,47,29,1,0,113.79,3,not out,4,,v Pakistan,Abu Dhabi,13-Oct-15,Test # 2180
88,227,141,12,0,62.41,4,caught,2,,v Pakistan,Dubai (DICS),22-Oct-15,Test # 2183
71,218,171,6,0,41.52,4,caught,4,,v Pakistan,Dubai (DICS),22-Oct-15,Test # 2183
