Unnamed: 0,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
In Australia,2013-2022,14,27,2,892,89,35.68,2015.0,44.26,0,9,2,91,0.0
In Bangladesh,2016-2016,2,4,0,98,56,24.5,177.0,55.36,0,1,0,9,0.0
In England,2013-2025,84,147,15,7329,254,55.52,12302.0,59.57,24,33,6,842,20.0
In India,2012-2024,15,30,2,1272,218,45.42,2511.0,50.65,3,6,0,124,5.0
In New Zealand,2013-2024,12,22,2,1006,226,50.3,1813.0,55.48,3,5,3,101,9.0
In Pakistan,2022-2024,6,10,0,477,262,47.7,668.0,71.4,1,1,1,32,0.0
In South Africa,2015-2020,8,15,1,703,110,50.21,1156.0,60.81,1,6,0,88,3.0
In Sri Lanka,2018-2021,5,10,0,655,228,65.5,971.0,67.45,3,0,0,58,3.0
In U.A.E.,2015-2015,3,6,1,287,88,57.4,527.0,54.45,0,3,0,26,0.0
In West Indies,2015-2022,9,17,1,824,182*,51.5,1416.0,58.19,4,2,1,80,5.0
